mes_año,aguascalientes,baja california,baja california sur,campeche,chiapas,chihuahua,ciudad de méxico,coahuila,colima,distrito federal,durango,estado de méxico,guanajuato,guerrero,hidalgo,jalisco,michoacán,morelos,méxico,nayarit,nuevo león,oaxaca,puebla,querétaro,quintana roo,san luis potosí,sinaloa,sonora,tabasco,tamaulipas,tlaxcala,veracruz,yucatán,zacatecas
01/01/2019,25857,69537,23038,22218,36626,43857,341,56422,12610,563006,20923,33,102193,33206,121675,232727,40769,72935,216091,12626,282831,39004,115863,85101,83425,40950,81014,109158,43608,69997,8694,107291,66856,17027
01/02/2019,19441,56063,18544,15864,28332,34630,397,46437,11245,510571,17307,42,74205,24580,112568,185908,29557,61438,183387,11014,252290,30005,105439,65094,68448,35800,61846,90501,34425,60204,6917,88848,56946,14186
01/03/2019,19539,52186,19103,15256,27416,36308,544,45035,9752,498755,17047,71,71275,24158,110386,173695,29528,59937,174788,10226,249353,31347,102955,61443,78710,31989,61073,81529,32912,54765,6931,88963,59416,14577
01/04/2019,23328,54032,19991,16554,30274,35648,400,46967,11025,491002,18526,46,72195,27565,120629,181773,29120,65045,183221,11896,246772,30003,106588,62378,72931,35829,64145,82958,36337,62882,7139,96108,67341,14919
01/05/2019,25727,55226,21813,18436,31245,36849,405,49664,11060,522744,18246,65,78478,23916,117116,200494,28908,56499,194328,10421,285941,27652,103745,69025,78125,37031,66785,95476,40552,67456,7702,93758,66327,13983
01/06/2019,23147,54470,21558,15522,28844,32630,501,46873,14147,486198,16382,57,69287,24204,104660,185943,27168,57163,169332,11717,241852,26754,98401,62494,76635,35530,63977,88626,36386,61579,7366,88237,61116,13490
01/07/2019,23246,58248,23128,16932,31231,38540,618,51254,12224,490162,19682,57,74354,28177,108564,194422,27856,57650,175085,13900,258348,31050,97580,62889,85762,39630,66588,94162,42617,64189,8081,97691,67323,15639
01/08/2019,21878,52720,22299,16325,29915,37521,892,50328,11754,480422,18218,121,72988,24357,104312,178942,26728,59585,164433,12905,273102,26304,106095,63759,76262,39770,67515,93538,46708,65763,7991,93963,65544,14494
01/09/2019,18987,47469,21054,16179,28435,34003,718,46576,10912,457566,18162,95,72007,23948,95483,173718,24441,55994,165989,9931,260322,24794,102119,59787,63833,35826,61700,86516,40133,63204,6177,84972,65979,13936
01/10/2019,20327,54930,20171,14822,28823,37766,771,45824,10609,483063,18422,127,72097,23388,104624,188266,26852,52846,168663,10616,263873,27348,110020,59983,66332,39488,66372,90479,41328,62100,7056,88774,66319,13480
01/11/2019,20432,48883,22548,15207,27576,35218,579,44299,11185,457681,18208,72,72074,23365,102107,183056,25016,51475,162849,10246,245141,28915,99222,60705,64132,34369,62022,87757,41501,58157,7843,82346,63782,11249
01/12/2019,20843,46144,21613,14551,29588,36503,761,45536,12236,417531,17971,45,71129,28770,93771,178635,30052,52018,153146,13414,236780,29978,91194,56028,69456,33299,64077,82986,41944,58146,7581,84215,61779,12688
