mes_año,aguascalientes,baja california,baja california sur,campeche,cdmx,chiapas,chihuahua,ciudad de méxico,coahuila,colima,distrito,durango,estado de méxico,guanajuato,guerrero,hidalgo,jalisco,michoacán,morelos,méxico,nayarit,nuevo león,oaxaca,puebla,querétaro,quintana roo,san luis potosí,sinaloa,sonora,tabasco,tamaulipas,tlaxcala,veracruz,yucatán,zacatecas
2020-01-01,23944,61713,28159,17441,433,36451,48350,788,55226,13093,502651,20745,40,89379,31959,120321,210128,36047,69154,202604,14903,282844,33852,117088,68695,85636,41518,82592,97517,53637,69996,10521,101293,76279,14516
2020-02-01,22738,53303,25174,16356,338,31726,38485,990,47327,10808,477963,17773,98,74072,23939,103419,186840,29393,60468,200537,10794,249256,23965,103526,66417,77339,40077,67874,89157,45830,63485,6976,90647,70751,12931
2020-03-01,27151,63511,22598,21730,279,36968,46592,922,55105,11897,562727,25007,77,87175,26878,111150,223563,34751,71200,247576,11700,289981,29729,123761,84406,83162,47214,85296,103997,51627,71346,8034,111873,83605,15747
2020-04-01,25816,60401,20272,22317,333,38949,43232,441,57789,12556,499106,21386,27,91044,29792,105722,207662,34452,77109,232336,13398,264602,30204,106780,77940,63567,43624,92549,100463,57841,72324,10813,113666,79533,15701
2020-05-01,23627,52432,17425,19105,342,33477,40226,515,50594,12769,427704,20179,28,79277,26284,100212,172595,32458,71319,229204,9745,238100,26117,93936,67565,58089,37861,70706,85672,48678,64252,9718,101050,72484,13891
2020-06-01,20025,45749,19669,16941,302,30943,36048,575,47559,11345,404534,21407,24,71624,23756,87027,171681,31740,59408,202899,9953,209072,26136,92081,66793,55073,35461,69696,81192,41034,54979,8927,93021,63483,11156
2020-07-01,19978,51050,18832,17187,214,30367,40500,504,49301,9584,399201,19266,32,70954,21593,80897,172997,30025,58121,191720,11763,221897,28237,86633,63529,64634,35063,68171,86676,42673,57369,7440,89056,64647,11855
2020-08-01,18737,46196,19649,16054,358,25857,37259,548,43794,7161,363814,19327,21,65048,21177,72154,153414,25068,54521,169436,10488,198491,29108,78602,55766,67319,32096,61725,71921,34764,50669,7486,83066,57894,10697
2020-09-01,16331,55051,29879,14619,160,26916,35340,447,40214,6518,349865,19817,58,61071,20829,75519,151463,26137,56323,159262,8911,188226,24669,78429,52230,68109,29991,54539,70558,37636,49655,7224,78857,51586,10052
2020-10-01,16295,51670,17973,15418,111,24671,36324,1563,40459,7957,357054,17543,30,60469,20621,77286,159724,27804,58249,161461,9246,176672,24610,81896,53544,75930,29625,56174,74303,37263,49535,7785,84157,56769,11216
2020-11-01,14915,43663,16128,15330,112,22814,35458,835,33942,7691,335436,17525,41,56285,20063,65396,147072,24583,55221,147709,9747,170660,25041,70252,48940,72257,27016,49501,66592,39393,45336,9432,76570,49071,10098
2020-12-01,14738,43589,14844,14200,94,24073,32085,850,34272,6896,315723,15603,30,59604,20820,62654,134579,24012,55784,143202,9632,159046,22403,65632,50108,63519,23463,50482,62291,33228,47952,8165,71756,49220,9816
